Dataset,Run,Cohort,Subject,Condition,TimePoint,BioReplicate,Experiment,Batch,Channel,Fraction,Species,Disease,Tissue,Enzyme,Notes
MSV000096130,20140927_QEp3_MiBa_SA_JY_HLA-DR-HB298-1-1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20140927_QEp3_MiBa_SA_JY_HLA-DR-HB298-1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20140927_QEp3_MiBa_SA_JY_HLA-II-HB145_1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20140927_QEp3_MiBa_SA_JY_HLA-II-HB145_2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20160520_GD149_145_1_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20160520_GD149_145_2_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_PD42_1_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_PD42_4_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_RA957_1_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_RA957_2_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_RA957_2_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_TIL1_1_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_TIL1_3_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_TIL1_4_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_TIL3_1_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_TIL3_2_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161202_QEh1_LC1_HLApII_TIL3_4_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161205_QEh1_LC1_HLApII_CD165_INFg_1_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161205_QEh1_LC1_HLApII_CD165_INFg_2_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161205_QEh1_LC1_HLApII_CD165_INFg_2_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161205_QEh1_LC1_HLApII_CD165_INFg_3_R2.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161205_QEh1_LC1_HLApII_CD165_ctrl_1_R1.mzML,,,,,,,,,,Human,,,,
MSV000096130,20161205_QEh1_LC1_HLApII_CD165_ctrl_2_R1.mzML,,,,,,,,,,Human,,,,
